order_id,item_key,cnt,min_last_update,max_last_update
7530454,101,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
7530485,513,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
9598486,103,4,2025-02-06 00:03:11.833,2025-02-06 00:50:08.477
7530232,710,4,2023-12-27 14:50:08.327,2023-12-27 14:50:08.327
7530213,97,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
9598492,103,4,2025-02-05 23:56:12.610,2025-02-06 00:03:11.833
7530481,97,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
7530209,97,4,2023-12-20 14:50:13.190,2023-12-20 14:50:13.190
9598487,103,4,2025-02-06 00:03:11.833,2025-02-06 00:03:11.833
7530209,3717,4,2023-12-20 14:50:13.190,2023-12-20 14:50:13.190
7530452,103,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
9598491,103,4,2025-02-06 00:03:11.833,2025-02-06 00:50:08.477
8175546,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
7999817,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8017459,34623,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8143283,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8061414,34615,3,2024-02-22 17:00:56.260,2024-02-22 17:00:56.260
8035609,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
7948120,34615,3,2024-02-18 17:37:48.693,2024-02-18 17:37:48.693
8009799,34623,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8214396,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8165489,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
7938968,34623,3,2024-02-14 17:40:28.550,2024-02-14 17:40:28.550
8132790,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8039641,34623,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
7908143,34623,3,2024-02-11 17:40:15.587,2024-02-11 17:40:15.587
8007989,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8189696,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8222642,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
6883685,4692,3,2023-08-11 14:03:13.847,2023-08-11 14:03:13.847
8159643,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8198357,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8120128,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8226111,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8129116,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8014162,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8094434,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
7966396,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8017447,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8283446,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8026131,34623,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
7982154,34623,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8061409,34615,3,2024-02-22 17:00:56.260,2024-02-22 17:00:56.260
8158428,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8195520,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8053664,34623,3,2024-02-21 17:00:53.527,2024-02-21 17:00:53.527
7976946,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8054688,34617,3,2024-02-21 17:00:53.527,2024-02-21 17:00:53.527
8283285,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8191855,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
