order_id,item_key,cnt,min_last_update,max_last_update
9598487,103,4,2025-02-06 00:03:11.833,2025-02-06 00:03:11.833
7530485,513,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
7530213,97,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
7530452,103,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
7530481,97,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
7530454,101,4,2023-12-20 13:50:10.120,2023-12-20 13:50:10.120
7530209,3717,4,2023-12-20 14:50:13.190,2023-12-20 14:50:13.190
9598491,103,4,2025-02-06 00:03:11.833,2025-02-06 00:50:08.477
7530209,97,4,2023-12-20 14:50:13.190,2023-12-20 14:50:13.190
7530232,710,4,2023-12-27 14:50:08.327,2023-12-27 14:50:08.327
9598486,103,4,2025-02-06 00:03:11.833,2025-02-06 00:50:08.477
9598492,103,4,2025-02-05 23:56:12.610,2025-02-06 00:03:11.833
8061414,34615,3,2024-02-22 17:00:56.260,2024-02-22 17:00:56.260
8036479,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
7948777,34615,3,2024-02-18 17:37:48.693,2024-02-18 17:37:48.693
7999817,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8258495,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
7949435,34615,3,2024-02-18 17:37:48.693,2024-02-18 17:37:48.693
8054688,34617,3,2024-02-21 17:00:53.527,2024-02-21 17:00:53.527
8175546,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8036492,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8276777,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8036500,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
7901463,34604,3,2024-02-09 17:38:05.243,2024-02-09 17:38:05.243
8142579,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8102017,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
7976946,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8161010,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8081256,34615,3,2024-02-27 00:40:05.017,2024-02-27 00:40:05.017
7929228,34615,3,2024-02-13 17:39:34.507,2024-02-13 17:39:34.507
8189696,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8017447,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8222642,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8038299,34623,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
9388854,28147,3,2024-09-16 10:01:14.960,2024-09-16 10:01:14.960
7907536,34613,3,2024-02-12 17:40:07.290,2024-02-12 17:40:07.290
8077249,34615,3,2024-02-26 17:00:44.537,2024-02-26 17:00:44.537
8257238,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
7940555,34615,3,2024-02-18 17:37:48.693,2024-02-18 17:37:48.693
8249035,34622,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
8101288,34615,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
6883685,4692,3,2023-08-11 14:03:13.847,2023-08-11 14:03:13.847
4897909,4692,3,2023-09-01 06:13:19.797,2023-09-01 06:13:19.797
7952231,34615,3,2024-02-18 17:37:48.693,2024-02-18 17:37:48.693
8063852,34615,3,2024-02-22 17:00:56.260,2024-02-22 17:00:56.260
8039641,34623,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8283285,34623,3,2025-02-05 23:56:12.610,2025-02-05 23:56:12.610
7966396,34615,3,2024-02-19 17:38:50.520,2024-02-19 17:38:50.520
8085164,34615,3,2024-02-27 17:01:01.550,2024-02-27 17:01:01.550
7900201,34615,3,2024-02-08 17:37:21.613,2024-02-08 17:37:21.613
