Sales_Order,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
1346405,1762.5,1762.5,0.0,846.0,740.25,740.25,0.0,197.4,197.4,0.0,0.0,0.0,0.0
1346420,6229.2,6229.2,0.0,4048.31,2180.89,2180.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346424,264.0,264.0,0.0,171.6,92.4,92.4,0.0,92.4,92.4,0.0,0.0,0.0,0.0
1346428,56549.41,23854.96,32694.45,31544.0,22687.41,9041.36,13646.05,0.0,0.0,0.0,32694.45,13646.05,0.0
1346445,1995.0,1995.0,0.0,,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346460,75231.81,75231.81,0.0,64534.98,10696.83,10696.83,0.0,10696.83,10696.83,0.0,0.0,0.0,0.0
1346468,6000.0,6000.0,0.0,,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346472,7093.98,7093.98,0.0,4235.5,2568.48,2568.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346503,907.2,864.0,43.2,771.12,136.08,129.6,6.48,0.0,0.0,0.0,43.2,6.48,0.0
1346505,7093.98,7093.98,0.0,4235.5,2568.48,2568.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346519,2709.0,2580.0,129.0,2492.28,216.72,206.4,10.32,0.0,0.0,0.0,129.0,10.32,0.0
1346529,2500.0,2500.0,0.0,,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346532,320.0,320.0,0.0,,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346538,23053.0,4613.0,18440.0,11064.0,9682.5,2306.5,7376.0,0.0,0.0,0.0,18440.0,7376.0,0.0
1346540,4995.0,4995.0,0.0,3617.7,1377.3,1377.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346546,23664.0,14648.0,9016.0,13926.28,8609.72,5483.4,3126.32,0.0,0.0,0.0,9016.0,3126.32,0.0
1346563,1869.0,374.0,1495.0,845.2,836.8,187.0,649.8,0.0,0.0,0.0,1495.0,649.8,0.0
1346565,14229.0,,14229.0,8565.16,5663.84,,5663.84,0.0,,0.0,14229.0,5663.84,0.0
1346574,6513.98,6513.98,0.0,4235.5,2278.48,2278.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346592,7150.0,7150.0,0.0,5362.5,1787.5,1787.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346598,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
1346602,9335.36,1867.0,7468.36,4505.54,3896.32,933.5,2962.82,0.0,0.0,0.0,7468.36,2962.82,0.0
1346614,6803.98,6803.98,0.0,4235.5,2423.48,2423.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346627,13143.0,2630.0,10513.0,6488.98,5339.02,1315.0,4024.02,0.0,0.0,0.0,10513.0,4024.02,0.0
1346634,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
1346650,6561.5,6561.5,0.0,4264.82,2296.68,2296.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346651,10852.92,2319.0,8533.92,5546.2,4147.22,1159.5,2987.72,0.0,0.0,0.0,8533.92,2987.72,0.0
1346656,6592.95,6279.0,313.95,5580.7,1012.25,964.05,48.2,0.0,0.0,0.0,313.95,48.2,0.0
1346682,2500.0,2500.0,0.0,1500.0,1000.0,1000.0,0.0,340.12,340.12,0.0,0.0,0.0,0.0
1346683,1869.0,374.0,1495.0,845.2,836.8,187.0,649.8,0.0,0.0,0.0,1495.0,649.8,0.0
1346687,150.0,150.0,0.0,90.0,60.0,60.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0
1346695,18868.42,,18868.42,10377.65,8490.77,,8490.77,0.0,,0.0,18868.42,8490.77,0.0
1346698,3738.0,748.0,2990.0,1742.2,1621.8,374.0,1247.8,0.0,0.0,0.0,2990.0,1247.8,0.0
1346701,3238.0,648.0,2590.0,1554.0,1360.0,324.0,1036.0,0.0,0.0,0.0,2590.0,1036.0,0.0
1346702,3471.3,3306.0,165.3,2950.6,520.7,495.9,24.8,0.0,0.0,0.0,165.3,24.8,0.0
1346703,11599.0,11599.0,0.0,7011.46,4182.54,4182.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346706,168.0,168.0,0.0,117.6,50.4,50.4,0.0,50.4,50.4,0.0,0.0,0.0,0.0
1346737,11802.42,11802.42,0.0,7647.26,4155.16,4155.16,0.0,4155.16,4155.16,0.0,0.0,0.0,0.0
1346740,8665.25,6295.0,2370.25,4332.62,4332.63,3147.5,1185.13,0.0,0.0,0.0,2370.25,1185.13,0.0
1346748,3631.0,726.0,2905.0,1788.0,1480.0,363.0,1117.0,0.0,0.0,0.0,2905.0,1117.0,0.0
1346760,2494.0,499.0,1995.0,1197.0,1047.5,249.5,798.0,0.0,0.0,0.0,1995.0,798.0,0.0
1346764,2375.0,,2375.0,1425.0,950.0,,950.0,0.0,,0.0,2375.0,950.0,0.0
1346768,1547.7,1474.0,73.7,1315.45,232.25,221.1,11.15,0.0,0.0,0.0,73.7,11.15,0.0
1346769,12042.5,12042.5,0.0,7235.4,4352.1,4352.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346778,25290.21,24962.4,327.81,16476.25,8813.96,8709.93,104.03,0.0,0.0,0.0,327.81,104.03,0.0
1346780,10431.0,10431.0,0.0,9309.67,1121.33,1564.65,-443.32,0.0,0.0,0.0,0.0,443.32,0.0
1346788,10438.48,10438.48,0.0,6247.8,3776.18,3776.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346797,5800.0,5800.0,0.0,,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346804,9609.48,9609.48,0.0,6247.8,3361.68,3361.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346806,4995.0,4995.0,0.0,,4995.0,4995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346816,5999.98,5999.98,0.0,4235.5,1764.48,1764.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346817,4320.0,4320.0,0.0,2246.4,1641.6,1641.6,0.0,1209.6,1209.6,0.0,0.0,0.0,0.0
1346844,2087.4,1988.0,99.4,1774.29,313.11,298.2,14.91,0.0,0.0,0.0,99.4,14.91,0.0
1346851,3422.25,3422.25,0.0,2060.44,1361.81,1361.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346864,1570.96,,1570.96,837.41,733.55,,733.55,0.0,,0.0,1570.96,733.55,0.0
1346886,5995.0,5995.0,0.0,4235.5,1759.5,1759.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346887,52725.6,52725.6,0.0,35182.42,17543.18,17543.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346911,1250.0,,1250.0,750.0,500.0,,500.0,0.0,,0.0,1250.0,500.0,0.0
1346914,3248.0,3248.0,0.0,1727.05,1195.45,1195.45,0.0,869.95,869.95,0.0,0.0,0.0,0.0
1346916,22261.26,2145.0,20116.26,12067.83,9120.93,1072.5,8048.43,0.0,0.0,0.0,20116.26,8048.43,0.0
1346919,22351.05,3360.0,18991.05,12726.85,7944.2,1680.0,6264.2,0.0,0.0,0.0,18991.05,6264.2,0.0
1346935,1922.8,,1922.8,1057.54,865.26,,865.26,0.0,,0.0,1922.8,865.26,0.0
1346948,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
1346975,73094.83,13002.0,60092.83,38183.12,28410.71,6501.0,21909.71,0.0,0.0,0.0,60092.83,21909.71,0.0
1346997,2721.6,2592.0,129.6,2313.36,408.24,388.8,19.44,0.0,0.0,0.0,129.6,19.44,0.0
1347001,499.8,476.0,23.8,424.83,74.97,71.4,3.57,0.0,0.0,0.0,23.8,3.57,0.0
1347008,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
1347021,1375.5,1310.0,65.5,1149.86,225.64,214.9,10.74,0.0,0.0,0.0,65.5,10.74,0.0
1347036,146.38,146.38,0.0,,146.38,146.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347041,3089.42,3089.42,0.0,3696.57,-1156.65,-1156.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347048,19200.0,19200.0,0.0,,19200.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347072,9356.0,1122.0,8234.0,4940.03,3854.97,561.0,3293.97,0.0,0.0,0.0,8234.0,3293.97,0.0
1347074,11604.22,2056.0,9548.22,6136.61,4439.61,1028.0,3411.61,0.0,0.0,0.0,9548.22,3411.61,0.0
1347079,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
1347091,1995.0,1995.0,0.0,,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347098,45710.69,6234.0,39476.69,22789.21,19804.48,3117.0,16687.48,0.0,0.0,0.0,39476.69,16687.48,0.0
1347121,1995.0,1995.0,0.0,,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347128,325.0,325.0,0.0,275.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347132,25585.2,2132.0,23453.2,17902.68,7682.52,-1698.68,9381.2,0.0,0.0,0.0,23453.2,9381.2,0.0
1347133,6513.98,6513.98,0.0,4235.5,2278.48,2278.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
